Record_ID,Date,Crop,Disease,Temperature_C,Humidity_%,Region,Soil_Type,Severity,Yield_Loss_%
1,,Maize,Unknown,35,75.0,punjab,Sandy,Low,40.0
2,32-13-2025,Cotton,Rust,35,,Haryana,Loamy,HIGH,10.0
78,32-13-2025,Maize,Late Blight,100,75.0,Punjab,Clay,low,120.0
9,2025-06-13,Rice,,28,85.0,Maharashtra,Sandy,,
5,32-13-2025,Maize,Blast,35,75.0,Chhattisgarh,Loamy,High,55.0
6,,Tomato,Rust,,85.0,Maharashtra,,Low,40.0
7,2025-08-14,Maize,Blast,100,75.0,Maharashtra,clay,low,
8,2025-06-07,Tomto,Blast,100,75.0,Punjab,Sandy,Medium,55.0
48,,Wheat,Unknown,-5,,Chhattisgarh,Loamy,Low,25.0
10,,Potato,,25,85.0,Punjab,Sandy,Low,120.0
11,,Tomato,Brown Spot,N/A,95.0,punjab,Loamy,High,
12,,rice ,Blast,100,75.0,punjab,,High,40.0
13,2026-01-04,Wheat,Late Blight,30,,punjab,clay,Low,40.0
24,,Tomato,Leaf Blight,25,60.0,Maharashtra,Loamy,Medium,
15,32-13-2025,Rice,Wilt,-5,95.0,Punjab,,Medium,55.0
33,,Maize,Wilt,100,150.0,Chhattisgarh,Clay,,120.0
17,2025-10-04,Potato,Unknown,28,95.0,Haryana,Clay,HIGH,40.0
18,,Rice,Blast,25,,Punjab,Clay,low,
19,,Wheat,,28,,Haryana,Loamy,Low,55.0
20,,Cotton,,28,,Haryana,Clay,High,-10.0
21,,Tomato,Brown Spot,35,85.0,punjab,Sandy,Medium,25.0
22,,Wheat,Brown Spot,100,,Punjab,Sandy,low,
23,2025-08-04,Tomato,Blast,,85.0,punjab,Clay,Low,25.0
24,,Maize,Wilt,30,95.0,punjab,Sandy,High,40.0
95,,Potato,Brown Spot,,,Maharashtra,Sandy,,25.0
26,,Maize,Wilt,,95.0,Haryana,,Low,120.0
27,,Maize,Blast,28,150.0,Maharashtra,Sandy,High,
11,32-13-2025,Potato,Rust,28,60.0,Chhattisgarh,clay,Medium,10.0
81,32-13-2025,Tomato,Unknown,25,,Haryana,Clay,High,
30,,Potato,Rust,25,,punjab,clay,High,120.0
31,,Wheat,Leaf Blight,100,95.0,Haryana,Clay,low,25.0
14,,wheat,,N/A,60.0,Punjab,Clay,HIGH,25.0
47,2025-08-22,Tomato,Unknown,25,75.0,Maharashtra,Clay,,10.0
34,,rice ,Brown Spot,N/A,60.0,punjab,Loamy,low,25.0
35,32-13-2025,Tomato,Rust,25,95.0,punjab,Clay,Medium,25.0
36,32-13-2025,Cotton,Wilt,,150.0,Punjab,Loamy,low,55.0
37,2025-12-29,Cotton,Brown Spot,-5,85.0,Punjab,Sandy,Low,40.0
38,32-13-2025,Rice,Wilt,-5,75.0,Maharashtra,Sandy,Low,10.0
39,,rice ,Late Blight,30,95.0,Chhattisgarh,,HIGH,55.0
40,2026-05-19,Tomato,Unknown,,85.0,Chhattisgarh,Loamy,low,10.0
41,32-13-2025,wheat,Blast,100,95.0,Punjab,Loamy,Low,
42,,Cotton,Brown Spot,N/A,150.0,Haryana,,High,25.0
43,32-13-2025,Tomato,Blast,30,,Punjab,,low,-10.0
44,2025-06-09,Rice,Wilt,-5,60.0,Haryana,clay,Medium,120.0
45,,Maize,Brown Spot,N/A,75.0,Haryana,Loamy,low,120.0
46,,Tomto,Late Blight,25,150.0,punjab,Loamy,High,-10.0
99,,Potato,Unknown,-5,95.0,punjab,Loamy,High,120.0
48,32-13-2025,wheat,Late Blight,N/A,150.0,Punjab,Loamy,,25.0
15,32-13-2025,wheat,Leaf Blight,35,85.0,Punjab,Loamy,low,55.0
50,2026-04-27,Wheat,Wilt,30,150.0,Chhattisgarh,,,120.0
66,,Maize,Brown Spot,28,150.0,punjab,Loamy,,
52,,Tomato,,100,150.0,Haryana,Loamy,,120.0
53,,Potato,Brown Spot,100,75.0,Maharashtra,clay,low,-10.0
